state_name,year,ai_jobs_count,percent,all_jobs_state_year,state_ai_share_within_state
Georgia,2015,8,1.839080459770115,760,0.010526315789473684
Georgia,2016,15,3.125,882,0.017006802721088437
Georgia,2017,9,1.5570934256055364,903,0.009966777408637873
Georgia,2018,28,3.214695752009185,1010,0.027722772277227723
Georgia,2019,31,3.475336322869955,1094,0.0283363802559415
Georgia,2020,23,2.6497695852534564,1178,0.019524617996604415
Georgia,2021,41,3.7718491260349585,1560,0.026282051282051282
Georgia,2022,44,3.2689450222882614,1628,0.02702702702702703
Georgia,2023,39,4.239130434782608,1270,0.030708661417322834
Hawaii,2010,0,0,59,0
Hawaii,2011,1,0.6329113924050633,84,0.011904761904761904
Hawaii,2012,0,0,106,0
Hawaii,2013,0,0,79,0
Hawaii,2014,1,0.2638522427440633,84,0.011904761904761904
Hawaii,2015,0,0,77,0
Hawaii,2016,3,0.625,72,0.041666666666666664
Hawaii,2017,2,0.3460207612456747,87,0.022988505747126436
Hawaii,2018,2,0.2296211251435132,120,0.016666666666666666
Hawaii,2019,3,0.336322869955157,130,0.023076923076923078
Hawaii,2020,1,0.1152073732718894,103,0.009708737864077669
Hawaii,2021,9,0.827966881324747,165,0.05454545454545454
Hawaii,2022,5,0.37147102526002973,183,0.0273224043715847
Hawaii,2023,3,0.32608695652173914,193,0.015544041450777202
Idaho,2010,0,0,50,0
Idaho,2011,0,0,72,0
Idaho,2012,0,0,92,0
Idaho,2013,1,0.3597122302158273,127,0.007874015748031496
Idaho,2014,1,0.2638522427440633,149,0.006711409395973154
Idaho,2015,0,0,128,0
Idaho,2016,1,0.20833333333333334,115,0.008695652173913044
Idaho,2017,1,0.17301038062283736,120,0.008333333333333333
Idaho,2018,1,0.1148105625717566,141,0.0070921985815602835
Idaho,2019,2,0.2242152466367713,136,0.014705882352941176
Idaho,2020,3,0.3456221198156682,191,0.015706806282722512
Idaho,2021,3,0.27598896044158233,291,0.010309278350515464
Idaho,2022,12,0.8915304606240714,329,0.0364741641337386
Idaho,2023,8,0.8695652173913043,226,0.035398230088495575
Illinois,2010,8,5.369127516778524,493,0.016227180527383367
Illinois,2011,6,3.7974683544303796,618,0.009708737864077669
Illinois,2012,11,5.612244897959184,612,0.017973856209150325
Illinois,2013,9,3.237410071942446,925,0.00972972972972973
Illinois,2014,22,5.804749340369393,1149,0.019147084421235857
Illinois,2015,25,5.747126436781609,1088,0.02297794117647059
Illinois,2016,17,3.5416666666666665,1061,0.016022620169651274
Illinois,2017,23,3.9792387543252596,1064,0.021616541353383457
Illinois,2018,45,5.1664753157290475,1221,0.036855036855036855
Illinois,2019,37,4.147982062780269,1387,0.026676279740447006
Illinois,2020,30,3.456221198156682,1398,0.02145922746781116
Illinois,2021,54,4.967801287948482,1824,0.029605263157894735
Illinois,2022,68,5.052005943536404,1907,0.0356581017304667
Illinois,2023,38,4.130434782608695,1632,0.023284313725490197
Indiana,2010,0,0,213,0
Indiana,2011,0,0,244,0
Indiana,2012,1,0.5102040816326531,252,0.003968253968253968
Indiana,2013,0,0,393,0
Indiana,2014,0,0,417,0
Indiana,2015,1,0.22988505747126436,444,0.0022522522522522522
Indiana,2016,2,0.4166666666666667,428,0.004672897196261682
Indiana,2017,5,0.8650519031141869,462,0.010822510822510822
Indiana,2018,11,1.2629161882893227,596,0.018456375838926176
Indiana,2019,8,0.8968609865470852,606,0.013201320132013201
Indiana,2020,5,0.576036866359447,752,0.006648936170212766
Indiana,2021,10,0.9199632014719411,1029,0.009718172983479106
Indiana,2022,14,1.0401188707280833,1047,0.013371537726838587
Indiana,2023,11,1.1956521739130435,857,0.012835472578763127
Iowa,2010,0,0,150,0
Iowa,2011,2,1.2658227848101267,231,0.008658008658008658
Iowa,2012,0,0,195,0
Iowa,2013,0,0,291,0
Iowa,2014,1,0.2638522427440633,365,0.0027397260273972603
Iowa,2015,2,0.45977011494252873,358,0.00558659217877095
Iowa,2016,4,0.8333333333333334,365,0.010958904109589041
Iowa,2017,7,1.2110726643598615,385,0.01818181818181818
Iowa,2018,4,0.4592422502870264,408,0.00980392156862745
Iowa,2019,3,0.336322869955157,326,0.009202453987730062
Iowa,2020,4,0.4608294930875576,303,0.013201320132013201
Iowa,2021,6,0.5519779208831647,452,0.01327433628318584
Iowa,2022,11,0.8172362555720654,447,0.024608501118568233
Iowa,2023,7,0.7608695652173914,486,0.01440329218106996
Kansas,2010,1,0.6711409395973155,130,0.007692307692307693
Kansas,2011,1,0.6329113924050633,161,0.006211180124223602
Kansas,2012,1,0.5102040816326531,156,0.00641025641025641
Kansas,2013,0,0,234,0
Kansas,2014,3,0.7915567282321899,227,0.013215859030837005
Kansas,2015,3,0.6896551724137931,223,0.013452914798206279
Kansas,2016,2,0.4166666666666667,261,0.007662835249042145
Kansas,2017,5,0.8650519031141869,236,0.0211864406779661
Kansas,2018,1,0.1148105625717566,322,0.003105590062111801
Kansas,2019,3,0.336322869955157,290,0.010344827586206896
Kansas,2020,1,0.1152073732718894,301,0.0033222591362126247
Kansas,2021,7,0.6439742410303588,406,0.017241379310344827
Kansas,2022,10,0.7429420505200595,502,0.0199203187250996
Kansas,2023,11,1.1956521739130435,451,0.024390243902439025
Kentucky,2010,1,0.6711409395973155,121,0.008264462809917356
Kentucky,2011,1,0.6329113924050633,135,0.007407407407407408
Kentucky,2012,1,0.5102040816326531,158,0.006329113924050633
Kentucky,2013,4,1.4388489208633093,214,0.018691588785046728
Kentucky,2014,0,0,259,0
Kentucky,2015,3,0.6896551724137931,246,0.012195121951219513
Kentucky,2016,2,0.4166666666666667,368,0.005434782608695652
Kentucky,2017,2,0.3460207612456747,287,0.006968641114982578
Kentucky,2018,5,0.574052812858783,353,0.014164305949008499
Kentucky,2019,5,0.5605381165919282,409,0.012224938875305624
Kentucky,2020,6,0.6912442396313364,377,0.015915119363395226
Kentucky,2021,3,0.27598896044158233,469,0.006396588486140725
Kentucky,2022,9,0.6686478454680534,530,0.016981132075471698
Kentucky,2023,6,0.6521739130434783,443,0.013544018058690745
Louisiana,2010,1,0.6711409395973155,135,0.007407407407407408
Louisiana,2011,0,0,152,0
Louisiana,2012,1,0.5102040816326531,171,0.005847953216374269
Louisiana,2013,3,1.079136690647482,283,0.01060070671378092
Louisiana,2014,1,0.2638522427440633,275,0.0036363636363636364
Louisiana,2015,1,0.22988505747126436,241,0.004149377593360996
Louisiana,2016,1,0.20833333333333334,256,0.00390625
